ticket_id,user_id,movie_id,seat_id,status,showtime_id
707848996,buijane_0030,M004,G3,Active,ST0076
767017221,phamjane_0465,M049,B3,Active,ST1054
781148160,bvu_5918,M031,J3,Active,ST0717
450891183,johnhoang_4312,M034,H9,Active,ST0782
294798995,ivu_0271,M032,J1,Active,ST0751
240663355,phamjohn_0656,M001,G1,Active,ST0024
886046912,lejohn_1773,M028,H2,Active,ST0676
578902675,jane21_0867,M055,C8,Active,ST1242
798273921,jane90_0275,M032,G7,Active,ST0739
456081033,tranjohn_5844,M002,J5,Active,ST0041
758548582,nguyenjohn_2394,M020,J9,Active,ST0585
424785693,hoangjohn_2312,M007,A2,Active,ST0160
596248392,janemai_0311,M054,J7,Active,ST1213
220529675,jane74_2144,M008,A5,Active,ST0247
456800270,gbui_1070,M014,D2,Cancelled,ST0395
763794290,johnnguyen_0076,M030,H2,Active,ST0695
658547434,vujohn_0566,M001,J8,Active,ST0032
551123973,maijane_0125,M007,E2,Active,ST0175
519394176,john27_1775,M046,A2,Active,ST0976
502014950,johnbui_0395,M028,G8,Active,ST0676
455979704,johnduong_0949,M046,D2,Active,ST0965
487028623,pduong_1793,M031,A5,Active,ST0720
233871715,itran_2189,M008,H3,Active,ST0205
615358327,jane12_0442,M053,H4,Active,ST1165
526269283,pbui_6977,M058,B9,Active,ST1321
953034204,johnvu_3478,M005,H3,Active,ST0104
152154008,johnpham_0009,M041,B7,Active,ST0878
783491718,pnguyen_0048,M016,C6,Active,ST0473
510675693,janenguyen_0012,M048,A3,Active,ST1025
946963836,janemai_5044,M018,E5,Active,ST0523
653852135,johntran_4890,M013,A4,Active,ST0383
527170044,lejohn_1916,M049,F2,Active,ST1055
301000337,jane27_0833,M059,G6,Active,ST1339
751065274,lejane_6077,M004,D3,Active,ST0079
999771655,tvu_2227,M052,C8,Active,ST1129
719912589,john21_0177,M017,A3,Active,ST0502
223003610,john37_1662,M006,H8,Active,ST0150
465515048,ule_0239,M006,J9,Active,ST0146
385343446,buijane_0041,M019,A1,Active,ST0563
662318710,lejane_0214,M009,A6,Active,ST0261
400043294,john72_4924,M025,C2,Active,ST0627
209752166,yle_0751,M054,A6,Active,ST1214
604551459,johnduong_0467,M033,B9,Active,ST0759
980021751,johnbui_1945,M047,J9,Active,ST0987
920234946,gmai_0129,M016,J8,Active,ST0440
630572770,john79_3950,M011,J5,Active,ST0348
